id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
2732,1718,Visa,Debit,gAAAAABn7S-f6lmG3xprQqpIbOsIFknQtpt12OfTWNEFfNZBeMYXETZJ26H3bK1HSooYFVLJb7qxemLaIcwzVES0hBaKpzsHDuAp80M2j2qJ18S6HZ88Raw=,06/2020,gAAAAABn7S-fDLjITuHLAFEHEcdkolc-oiML2-g2Q1dqJF-L9ERu-uwr3Li3x0Zk5rsFRnydE9gOKS06OeLworayIXVfWOiQpw==,YES,1,$31463,04/2014,2014,No
4706,1718,Mastercard,Debit,gAAAAABn7S-fxTLkBlQ2n6cpi1rt2Q_jIlerA62sCO-jX-qyVKjt9GBfTvF3nJR16l0NT0iq9CbQu1oWK7MgXkWiQ4KmN74efAdq5OiXHt8ZSkoeb5ni0ro=,06/2024,gAAAAABn7S-fAyCedJpguRAGcyerQhxvAsEMHjS0bxOG2OF1uUiW7krU9aizz_121g_yIPpXDH7h5hgJWp04Yy9Cs0VhaemsBQ==,YES,1,$16055,09/2009,2009,No
281,708,Visa,Credit,gAAAAABn7S-f2nIX_3foPijUVRGFNC7OFgC2zAvCmqBfwYXJ4nOjk1UaXObshNds-EVajBJmwj-heo-4PxAnM4YT8m_eHh817yFVS70Ny4XYIXCSTIunRUM=,05/2015,gAAAAABn7S-fTw6uhQIDqTLnLzkBEBsv-Bm0-vt7X0g9IdeIS7ho8XcaJN-Wa-GaTzXHsxwChREkWoljmfolUwTTY0Aw2VjFXw==,YES,2,$98100,01/2011,2011,No
1106,708,Mastercard,Debit (Prepaid),gAAAAABn7S-fQCZ1Wu3XwrgnjrjBSTjfMSDrnvUTNPkb_XBNJqHQxg3FEgrOOxO0pvgANqDAwkN4vA3C4XAUjmJcdd_etM_xI_I5vQ1sD-1Y5Sf5XsS1re8=,06/2020,gAAAAABn7S-fnZdP3nQA-Ug1CtKnL09xHvKJqbEePxwc50JrtDwap9NjtP_i5wrFC2xvkezTbsGyoLLYYOtSA2cpnumqNK-bqg==,YES,1,$62,02/2007,2007,No
5621,708,Visa,Debit,gAAAAABn7S-fdlbMgVJEuvPmyW9a6RUl2_7mYEN1QraZZ46_ShG3qWDzMAJ4Xl2ct-Isl_6LLKsh2NbqnScnjs3A7mp55lrMCQ5g9UZuIzO_DNLSuRsYtNU=,06/2022,gAAAAABn7S-fa_nf_z2bLAaSMkTxQk4PwYqTvrHdC9mMHW7uylSa_03aIY01xeGSqqWdycBpwqXl9rJBKu2OkptzMrUUzpocmA==,YES,1,$132439,11/2010,2011,No
5165,708,Visa,Debit,gAAAAABn7S-fxfnDVD9mdLAdWV5_849MsEKUr-bzQhi4Mqo45LiSocsX3erYs1RpuU1mG3WZkN_72WJ6337D8SyYW1uUg65fY2wqLxsYL-6JG14FH86oCEg=,06/2020,gAAAAABn7S-fqvD81ReZ7s34FjHoj6IA65NIgVbPr1FcT96gWpvBdcm8FyPyrzyG7g6zV8XOe5QlDrjVf8MSIy21_pimFLvfCw==,YES,1,$125723,10/2009,2010,No
5757,1164,Mastercard,Debit,gAAAAABn7S-fsqJkFuJcnLSvYGxSmyD01vmJANq1fHXYNiQC8xRQG6c6jKaqGUkYN7Je650xG2xopdC3Q7lwjYlZ7sWDPa9EELX6jdKE5-QYnoanEOtYSCY=,01/2022,gAAAAABn7S-fD8qvuvOH1z1ihy1sZUKbXHrXRaRBeAPgGYuRSjvC1SO7l-7B_TMm1Eoi49RyiTJz1V-TFYZvNUB86Wae_shbSA==,YES,1,$34900,12/1999,2012,No
27,68,Visa,Credit,gAAAAABn7S-fCFL8HXV4DsGKM4X4lon9xYAEwF9ru2zEY2Rvin-G1hGHDEQSvFFfNtj9xITxHr4j9dgkFpKaV3py2O1yqwEph5DjOPflFT6V2d-tgJrSgrY=,09/2021,gAAAAABn7S-fv-926ff2EP4vkUjjqAzdYRv8Pv2jIiif9TmQKoPcOb8wiDSN1aJF6WPvo9PSXnuwqy6bQArd-QKOJiuj6CIQ0Q==,YES,2,$9900,01/2002,2019,No
4648,68,Visa,Debit,gAAAAABn7S-fh7p0XhgG5y4-2F0v9aBumJTJdiyhBNYixrkVyUYf0FpYAZuCJjybCrkzvwSLD1KJazCpRJtUz7GJwOLJQxnIiZLPlTTfEo6X96U_VD686Ao=,07/2013,gAAAAABn7S-fxB_RXk2_wWf1x3RpIalyjmKEr9_K2gS65lSxea1BLCtDopBO4E76zKmwiPenxuZhDBw6MzrP9i5zLAPZF5uJYw==,YES,2,$21587,09/2007,2007,No
5435,68,Visa,Credit,gAAAAABn7S-f0iR1T3ruKA2li51E75QagYajRj92g28FUzJ8y-vOVJ73KxrdhU06b6DN3cOjsxELzyQie9aSO1x28-GV1ZS1IcRVunP4bRG9JPZgc9cdJYs=,11/2022,gAAAAABn7S-fYXdBswsyo_Cc9UBohsStpd_buk_uOZ7o6YfS2kwYHH9wntsquDHTxwwnHghKI1zfR_kHszhuUR-NHjuVbaQlKw==,YES,2,$15800,11/2005,2011,No
3287,1075,Mastercard,Debit,gAAAAABn7S-fwgLraYxhmlMS9fkjF5aI7-r5kkdQGcJ-rKYEGhsGsptYCzQISF619O8cf3sbNPrttN7oUr_EjJDji7ZjKLmIIKgONfT1Fsr6gyaNJ9jERyQ=,04/2022,gAAAAABn7S-fCBga0i14wRpQbfDPvQnL2OsrEDry_yjaDVJaBc_cUeXBetILSTU7_KZGV18i3U7lVHasgiU9fk2C7bs_mFLARA==,YES,1,$29964,06/2005,2014,No
4761,1075,Mastercard,Credit,gAAAAABn7S-fV1jSUgHZWojl5SUgv77sQAqXdOPyNuwIeUpumyIjT9QllXpZejEQZAW99xA46_HUdM0lT_ndcnbegdsbB_C5fS9QmfCHjqAtMsq55-CrfPA=,07/2023,gAAAAABn7S-fAA38uXsAJGf-PyjlnRxlbQCa-gAFhknW59zJS6nJcBRY-4-b-yw-LSmJEoT6gNVFItEmt-5ImNH0Q4g1Ato29Q==,YES,2,$11200,09/2010,2010,No
5286,1075,Mastercard,Debit,gAAAAABn7S-fwGPuMyTWm-JUylhF5oa8qmV9fboG-bgVFYEwNv0kHlQkGSE9_K8w1bR6caEORZe3upfmHUlMNxnP6BZQ-qVtQh1m0_JmAknZG1syQTLJJhk=,12/2021,gAAAAABn7S-fM74FmrtSN5NnECMj_i_u6Me97AqiZogBhpvLLpyKBAJNeMNGITMk0yIb3_LOVkHy1Mre9Px8s5K4vpl3VvVNrg==,NO,2,$26753,10/2014,2014,No
744,1711,Visa,Debit,gAAAAABn7S-fj2wLF6WI7F-pG0tGb83whw_yJHHFMFqHPQD7b84mphx_eOMQ0340y7eNDbvdgRHwGemqL50jB_Ib2385k5cy5O1TVLfPZne_TLFazfSyQAU=,05/2023,gAAAAABn7S-fncK3WJfytTM6KNNSNr9HxivIOEe0CONr41sXhupOjX4K-8bfYx9snTipGdO4TWEXeKfreRpUJyuP7DLA85uN4g==,NO,2,$17480,01/2020,2020,No
5559,1116,Mastercard,Debit,gAAAAABn7S-fIUHKd-ATTTJxT8c44lbihbFMJ4OyhVyOAmAleDByQXi-_4TVgMwO_Y4XV8cxFKzzk2O1_tm_6XP2T-BVG5jA6fr40bWMSoFVWFqxGOr_3ZY=,09/2021,gAAAAABn7S-ful3Ow8DXoaqJxRmmD2rnyHcnUth8EzfBDPyDEod82tNXJGma-cPk1vg1aK5A7_VlJ5wJXdtpxXAOFY1Yqllwaw==,YES,2,$26546,11/2009,2009,No
4905,1116,Mastercard,Debit,gAAAAABn7S-f0QzWy8qgRRtdzHpaJOSb7j1cpytrIsOqZw2z4G5958cdkAslC463m0bUpDIswnG2v62NTHQHGyUnY4b-29-sVNOmKmvIf_lec9SN0SZvttw=,01/2021,gAAAAABn7S-fxjRzhgrN560gqoGonsh3TZv7j19Tbr2WocjK1RJY7NPBiQu6uKDboHfJ6blzs9r8kFhjc7yAL2vWe0TbPLn4gA==,YES,1,$23253,09/2017,2017,No
79,1116,Visa,Credit,gAAAAABn7S-ftqWVSPUt9JLZoYHx5Nn1ytN4jHjWdkty3rUGHrQXNYfW7yB3YYbkXsqtvosw0R-2zEQgSFQM539-vZQLT-PQq4ZhM2SpDTa14HOBymj8C2o=,02/2021,gAAAAABn7S-fowHcklkrh_cYiwfO75HrCf6-QNeJq3bEs8ljANwJluvXssllKITRPjdzLuQrshb5jN_6TsOX0NF51bGfeLp9zA==,YES,1,$16100,01/2005,2014,No
301,1116,Visa,Credit,gAAAAABn7S-fAdvP1ex98nDhueC3mER12wzfY4Z3Ll7AvVaMlZclQ8h8S0DVn6znVNlxslplwMTUMv82WIUdXUX5Jt_ZYyEveOPj_lSuiH8iItNbk3IIWNM=,02/2021,gAAAAABn7S-f4h4gwDxy0tTjsh0f_jNtgF8WBA1h0SXgys_10b6zdeIAt_LbSiunN_BpGjOtx8kZFM50-LVAKUiXFUD3e8lx7Q==,YES,2,$8700,01/2012,2012,No
3115,1116,Mastercard,Debit,gAAAAABn7S-fzpGAYqEu84N--rk8fCKRVUMiMyl9qJBF6mhoAG-Ar8A606RhqnyigrMiWyQWf1jb88eF4cY-SR7fk0QLdY27Yv13Mn4JM51qAUsdqWckmb0=,01/2019,gAAAAABn7S-fkiHTJDINwt7rG6qKZJcvXf-UwTiswrkdpNbTu1A4K2hN1JNoZe2kllEyUQmZxK9boRuPFq3MvcUeiP0Qd0kz7g==,YES,1,$29333,05/2012,2012,No
3880,1752,Mastercard,Debit,gAAAAABn7S-fbqSucRZ0lcR62Kf41Ru7lFplLxoNU8lJRS7MfH0QcTtMGmWiaUH43W8gbUL5_MBdWUI5BH305O0cgL7MGIR4YElIuZnVNwfmXz_d7j1NKN8=,07/2024,gAAAAABn7S-fphCeYr4L6z7sHWhoiFq7PvvqxgCfx5TXzx09H2orZ0BiR-GHe_kBRcWiA_qQTOkUOPKKPv3av2CZZz5ivw2Pog==,YES,2,$9496,07/2009,2012,No
1766,192,Visa,Debit,gAAAAABn7S-fh43lAmbkC8D8TcjWTQ5kHKwSbDuqNQBL0r7q9zBVfMMLHcLLFHSPDtxJZvrn-nnvzFwdbAmCEZsrHc6XtiPfMBMiLxxdAWdVfXL5BGRIyVg=,07/2021,gAAAAABn7S-fmfLQuXRuVuOSfaWc5DEdyF_Gej99vc0jhSgxhbMJgFL_gpye4g6rvlop-dXCSSthBhoO07VHtV-PfQNpEC4m-Q==,YES,1,$25499,02/2020,2020,No
1767,192,Visa,Debit,gAAAAABn7S-fnpQdTdPn6jKggQVyH19-iOTy334iM2hvYjL6U3jA-RTmzoFR0Iq7uAdRBaRjwpjqw2NLq9IN4IVmZA_IU-ETlTBRJwAbISXlmnxXzgHrU44=,02/2020,gAAAAABn7S-fAd5Dphcv3QK4a4P2Rm7EbRnAL7EZbdU0JaoUy-3pQExKdJBHjdsRLRsK4wKANL0rT4vSIH2rLVnUCdoE_SW6Mg==,YES,1,$18641,02/2020,2020,No
745,640,Visa,Debit,gAAAAABn7S-fLX5j4awzbbi3zNNBRAMkobVE1_3C2N7Tr0p0zfl462t8rld63NeUCHPWoEyLE7fIKAm_S7hLXQXbOGPWcgZSHTWFdFnILeV3vpfBAnNs0KA=,05/2023,gAAAAABn7S-f2zeQyRvOOsMALTpOSSlCkeLHpNLq2G97d0uhUuIWLRi3hd80p-BG6xmohm70dSHGSjUUO920-OqTMGnlJtU98w==,YES,1,$26019,01/2020,2020,No
1459,1679,Mastercard,Debit,gAAAAABn7S-fhXE1oXF8G_7_9WzjCuHEypgzB6OvX7yO3HZR3dHAkdqEy7zXkVyyWs3NhJj3ueTrXJf6I3SSr_skstLSTGNBAtHaYrMUs53VbZmzohpn04o=,01/2021,gAAAAABn7S-f0v-g9AjEXkNDVxQeU9d0Yj4zAX5jH3sa4paHElmIzxWRhETb8NhUjbBC1d8Zt_sYdzE4g96kbWtbYTQEyJmnaQ==,YES,1,$25845,02/2020,2020,No
138,1094,Visa,Debit,gAAAAABn7S-fpNZcnXlDomN-RclQMPmYPLp4jXrQ3EFTVIhMfxT1tC-V0uO5_xmBpdQCAFdmO5fXF5vgzbIBO88M3FIoZSMNwDl0V-XBClsuxDsUFps2MdU=,06/2023,gAAAAABn7S-fpjkPJeHJd2PaSuANM5lU6bKkiRqlmyMQU4O8ukAlJuvB6_Un_ra8zUFUEJR3l6VKgek8YAhy_fnQzorP4Ffy_g==,YES,2,$2365,01/2007,2009,No
3755,1094,Mastercard,Debit,gAAAAABn7S-fXi49cSRfweOW607fvZSYwc1bIYU1nfFhDyx14UkDk97Mhe3zOM4C2N6JuYaq3XBKKs_zSEopVexNTbivctJtrkiNE7NUY6mwBxooejEuvk4=,06/2023,gAAAAABn7S-f4s8b8kd6c_7LCQzQSMHouZVRxnW3f26cpKrdnRrY2f36CVbsEXgj_mQ7eF9HxFd5jRzzNMEe1_1YxVwzgv2NEA==,YES,2,$18684,07/2006,2017,No
1768,1094,Visa,Credit,gAAAAABn7S-fuaT6k2zzEXt0xa0TvJsmZyrvpBfVBuCSQXZ8s9MnAAXxJ0o1puilvh5iu2-uy6o6oIZ7PKS3nw-x1lgJZNbhpuzVBd75hThjPl_19iSBU-s=,02/2021,gAAAAABn7S-f4s5bgnXkEFplGo5aW-9M-44j5xS0mWGczYryKXPlWQIujzlKhFb1XmNNmRe7eL0aiqhfYdAu2GBYu4l52ho87w==,NO,2,$7400,02/2020,2020,No
5924,1590,Mastercard,Debit,gAAAAABn7S-fJgUsdvfCBypVl2T4mU5RL12Aj7oxmbjFTJTuBok1Hgrmc8AOKZBQfQMppPnxmdjFxVWc9lFgDcfQHQCZTs-qEUYe60uiltoGI2bW2Btjzqs=,12/2024,gAAAAABn7S-f0zQ8_PUooWklGVvILo_-S4vGvM5nkDtfG5knW_uycjg-iyDEYKT97XqpPcFYYhSUJRKDEW_UcwOK0WtqFqoczQ==,YES,2,$4147,12/2008,2016,No
6074,1660,Visa,Debit (Prepaid),gAAAAABn7S-ftl7GxSrPAK8fQDDw1dqWuK5GJCw3490fOkJXSS10_rV52LaKgaCixHETY7g55kR6HGW5rjJ26yyg--IP3pd9iq7lBSewfN0emb4-8Sana98=,04/2022,gAAAAABn7S-fkUmyw9AvighezI6liPoHfnmncqymk4e6On4mvGzd5bzQtOYT0A-KlFdKjVdOEN_cyOqOLquKV43OBtBPVaA5JQ==,YES,1,$76,12/2012,2012,No
5923,1660,Discover,Credit,gAAAAABn7S-fpYUgwjwNNc2k2scmjwFzj1LQHSTlvsa6-gCPG0_bsi03B1Wd6E1sxm7Fx71aGKUWOuTefx94Xn-18bSaNvasfzma1kn2_ZWpKorY4U7u9U0=,01/2009,gAAAAABn7S-fadn5xRAI4_Jssqs41gQYJAWLxgIftvmMfMVocxgFXYSdthAePF3lQYfhxAF6THjY3vmmfzroVHZ-8-nL5GK3_w==,NO,1,$4700,12/2008,2014,No
4223,1660,Visa,Credit,gAAAAABn7S-ffVG29kG6zGi1Zw8ft22CloX7AmxzXgOG0DwpZVAkFNvoAaVgEuULTD5EfLkY4dj0rwDfVwsxavD_fyF6Xma5LCRZPKBRbp-JHfYkJ4M8Anc=,06/2021,gAAAAABn7S-fHHrxJuWc5JLUUpuDwg5TcwhflC3pQ1D4bpOWKFoIfLy7WP6FwwcskiMnqeJSq_JLugvtYiko25yne3vkYPRHVA==,YES,2,$5800,08/2007,2011,No
4455,1660,Mastercard,Debit,gAAAAABn7S-flv5LsJ89A9n5YRrm55YEhykDmNBiJFIR4-HruJLFIRHLh0nnkkFE3CZwE8sCiDpConSChWM7libVUxRZK_7_aqNDqYYN7KfrDMgjs4b8IfQ=,03/2024,gAAAAABn7S-fxSzvES74MrAIl6EUwQvIx9I3hY3rueLR68f6A10XBJVOFV80kdDEz3_IRwJ5bA_Xzq1DnmJ-gVz_XXof-qMGdw==,YES,2,$12082,08/2016,2016,No
3234,1660,Mastercard,Credit,gAAAAABn7S-f-cqNDAGEHhxOIAKK5oAvb-UvJ9e2vTNLQCraNmnCiaPyr9BFRZ__qvCqRUrndfHpD_gX92JeCs46KOpAwkNwWbw6HsBS6E8DYfh8mJDoRn0=,03/2023,gAAAAABn7S-fSGwbBSUWEejBAUi8oNFucrNabdlaxE_V7lURqejBUSxs7MQRAEoqtQClQcFgCNQvr2PignzCfmiW5aBsdxFRsw==,NO,2,$6000,06/2002,2010,No
1005,1660,Visa,Debit,gAAAAABn7S-fPg8wbwTVO3s41AZq0kw4FXmX6lep6jECmo0K69du3PyHaDS8gkHVKbrM9vbrKEkjz2b0J2JjPzHiHesTppopIIhMdBbO9AzR8TUkk85Fgx0=,11/2009,gAAAAABn7S-f9BKEQvsPbELmH5UcnmLgYfJ6oLnLw6ylBo9cZykI7lWHNcrkjGnnSjFIggkoJtJ6pDSlrB74fvhD2mmkeCb9Kg==,YES,1,$620,02/2002,2014,No
151,1747,Mastercard,Debit,gAAAAABn7S-f64MdqB0cVWQ0bjXzC5q7OZY_TmtHmBiSK-s9lRO05URzX0u_Zf8UwvBqxXyr_iZmdQ4iF04DFSXWioVQ-iwRJl11pTNBH9RdOQmil5pGSoQ=,08/2022,gAAAAABn7S-fGO-dyoIRi_SJNgaK1FwTFhWAw_U5-IhEfVOlqrqGgtJcN7YzqCYaTovqOGu7GI-QdAoNWj5VlTMOGh6QlgmqgQ==,YES,1,$14499,01/2008,2008,No
4198,1747,Mastercard,Debit,gAAAAABn7S-ftazw1TgzQs_W60Cka7yqcjLsDeIhH6YHbyOdaxXHiA0gFq-Oldj7zaTHkid_zXnT7nozr1YqXsWgpFUdcwk0UquQGo4nhaKfLbcLib4C-GY=,07/2023,gAAAAABn7S-fPGrs9sKQkss646naQMAuUwIUNrdFpG4dN-uZY6oWY4s3jJPKyxjA4zDdLm0BO7eVdLl0XEQr857kwiVyH-2i-A==,YES,2,$12332,08/2007,2009,No
4403,1747,Mastercard,Debit,gAAAAABn7S-ffVLfciHtHHdfwNZtVpqW7-3CWpGEsr_Hsxzala0dlVvwgb0rUUzchsdCBnX_Gsq3V88L6Ub8a1zLtCVeTYwAZAZkJdj61yB_QhTnnLnZ0_w=,09/2024,gAAAAABn7S-f7GfWxiR9dBEf2quIG1jR3z5GfPqiC59IWPvyEKt78RjxJaIRwEo-XBWDUogKAWHTdeJjdGHmogGHp-WI5Q7TDQ==,YES,1,$18424,08/2013,2013,No
4120,1747,Visa,Credit,gAAAAABn7S-fgfivshFSZGraO-rihQ16zxFeOHxQqBQ4sWjG430X5esVBjARGcyaCX6S_gibkwUjUrU93OWG7vdyPQpC6_aajdxqaPLq7UfYeYKvbQ-sDXo=,07/2023,gAAAAABn7S-frh_fqvwg2zQgglDreAJ1bYXiIOUh-K3u_hWxz_urvKwVR2Zo64eAvU5qJPXa0sd1HyPcmvKOl20wv1-_PK_0MQ==,NO,1,$15400,08/2003,2008,No
4224,1747,Visa,Debit,gAAAAABn7S-flOJBISEhJxDwNy3UEtLl8_sUkqdrB8jqHusJlw_prXDOPtk16iwpG9uBsm2EWLf1Ucyr2vBuIxQm5K9cCwrurb3uJoFHDRHGxzE7XaEmRu0=,02/2022,gAAAAABn7S-fK6PV1gbLT19G13D2G9z5VwbSBsQbfkHkLEMcLZJoCn4caNr98JUYHbAwDq61DY66Cul9TZr-p6vhQFOkLeQqRQ==,YES,2,$14548,08/2007,2013,No
4895,1747,Mastercard,Credit,gAAAAABn7S-fyjeF_o-9vsA24VYMmHj87t39_5r64eM5qaGotQ_4_ioJ-wxyO-SN7QWtaYx_OkNoZRyguCCxXy2NMdGHB91CUMCB1CpNjchijSi0eprzfqc=,12/2016,gAAAAABn7S-fYBedhWLILRUZefVYZP1a5RI17Hc7tlyFAF74CG3dlkL6MMMVpdtWSVk6RYit7Ji9P_wILkA5zj6dchuZ_QNXzA==,YES,2,$10100,09/2016,2016,No
1028,153,Discover,Credit,gAAAAABn7S-f7Q-fNPlQZut2vSnyMfEo7DsP_DownAEhwnO7ibJRKRIGaEOSbfE05RljhwunTxqPRUJYh_k2FfD_ZrUD0xgRBwOymETybqT3x-3gG_L8w-o=,04/2011,gAAAAABn7S-fzKrjimRDFLMeFvBDDF49zIvBd5XCdYicCtCVtvay5VnnF-l3_r1X6xSUDezhgZzVSNLin53QNzB-EpyK06veww==,YES,1,$11200,02/2004,2008,No
5956,153,Mastercard,Debit,gAAAAABn7S-f3zTM9jAxcCJh5YdeOiQnYvBTvx0ScPloCLtuuA8BAkSUbUhT4NisqjhxHHTUAfvzBgxp0iZ-IkIeiGH00eCfLJ3hJXs6Qe8slAefWhrrGlc=,10/2024,gAAAAABn7S-fPlbrwvJFGBI-ACtTlqnP6utnHlkIisZcQ_d7rYdoP9EJAxn6E5dyAefrChra7oUBm9qJuS9M0aUOjozqcjlAag==,YES,2,$20291,12/2009,2011,No
